source_path,local_relpath,filename,source_git_blob_sha1,sha256,size_bytes,sample_rate_hz,channels,bits_per_sample,duration_seconds,age_label,age_years_filename,age_group_filename,source_cat_token,published_cat_id,gender_published,target_years_published,duplicate_of,analysis_include,analysis_cat_id,qc_flags
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-01.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-01.wav,0.5Y-022A-F1-01.wav,2e16d3a30b3c4e2cd62994c527d0f50944e0356e,89ccbde4c8b4e686acad5f199573bb6c240558c341de5608efc9d1a18d9b6d81,88066,48000,1,16,0.915667,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-02.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-02.wav,0.5Y-022A-F1-02.wav,41beaf51e4c90d6a6ed8ed31d7b3d7aa21ca9c12,147639a3f033e21e10d2d60f759198e1595fcb055b7c5a06cc0782ad6ef69cef,35834,48000,1,16,0.371583,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-03.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-03.wav,0.5Y-022A-F1-03.wav,27d5ce191e257d43688ae937f9c29bee65121919,0004803131bcd84edc9c1155236c12642d45dbd758eb6f7da63704a89f02d222,84044,48000,1,16,0.873771,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-04.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-04.wav,0.5Y-022A-F1-04.wav,45b0c5c25471962e3ea4f4f21e67ebc20784d642,f926631097df592e07504535a698ddecc375426f86042230a19c951d71316ae5,23498,48000,1,16,0.243083,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-06.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-06.wav,0.5Y-022A-F1-06.wav,6999979e199b9e547e06ab506f71eab7003f942e,21e711c7d8c7814def0c1c15adbe3bee8395985996eeeac5b40058da90308a93,88964,48000,1,16,0.925021,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-08.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-08.wav,0.5Y-022A-F1-08.wav,b4292ff3110e20ff31db246e91def55f5df5b52c,46c063bb183b4dad0b3c7e8f016fa06f65d13a90d64b82fba8fc60c22a0df8ce,70894,48000,1,16,0.736792,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-09.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-09.wav,0.5Y-022A-F1-09.wav,e9f775e9fd03321f9b8fbaaf59833b019b8b47a7,d54f0f1c6484865ec8d4472d159323c0b9dd84fe320274e6025e606493097d0b,70480,48000,1,16,0.732479,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-10.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-10.wav,0.5Y-022A-F1-10.wav,bd7b343af519828477e0accef256de1e3dc8e4af,aa35ecf0b436a4dfe526ee571ef683582de810af1582abadc27b59724141c8b6,82072,48000,1,16,0.853187,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0.5Y-022A-F1-11.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0.5Y-022A-F1-11.wav,0.5Y-022A-F1-11.wav,787d0fddbede822c781fd79eeddb52d40b402a32,4e71cbe105f6559b0eb4b5591d7cc058e2176eca1b1507f6e1ce7c384a468d4f,38844,48000,1,16,0.402896,0.5Y,0.500000,adult,022A,022A,F,0.5,,true,022A,
dataset/raw_audio/AudioCropped/0Y-040A-01.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-01.wav,0Y-040A-01.wav,351282bbf69e7d53378179ca2e62c6e162811cf7,9686000930e7e64f9ab1c0449d50293575d72c3bc337b33a075a02aa7c8c8d9e,64462,44100,1,16,0.728798,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-02.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-02.wav,0Y-040A-02.wav,f936b9839c35c6e298f0c07d03808a837451f189,0659b1786e7c560d74c676c06ad1040af421c3f2876da417976208e36bd7052f,79072,44100,1,16,0.894444,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-03.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-03.wav,0Y-040A-03.wav,1d5542f5183c5b07b3d52ba3bffa75d21db74fde,a7a9c496c9a089a9965dfcfdd216b8f6a2a18b11de4ace09fd5338ae45a99797,38166,44100,1,16,0.430658,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-04.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-04.wav,0Y-040A-04.wav,12f25bf716a9820e82af1e3772ae807771487752,e498dc219e68da062336b97ad8ff99bedef9b235e960bdd1e6a37879a0e2a420,39920,44100,1,16,0.450544,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-05.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-05.wav,0Y-040A-05.wav,e52f18bd4d273357287700b85d775486f40300d4,0fcfb8791d48a591f33e457290fef41340f12419ebf2b66d933609bd3304d01c,63294,44100,1,16,0.715556,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-06.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-06.wav,0Y-040A-06.wav,9d6dbe6a3565af518e511ecbe758954c588ea287,67767b788f0e706286cc9dafcf429991cd75510745e558f05077609b5e2bea7e,68552,44100,1,16,0.775170,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-07.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-07.wav,0Y-040A-07.wav,b5ddcc162ae2751d739f1aa1894a63890a3f71b9,10ebcb1b58c376d598349ac33bba36664297b91fd511f3a86e5fd587c3188dc4,46930,44100,1,16,0.530023,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-08.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-08.wav,0Y-040A-08.wav,07dd068dc8de42a9216a5278a37c41fc4866fd67,abd4fc0ade6f7e24a90db715f507340132491403265c5931f9e619d297737094,49854,44100,1,16,0.563175,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-09.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-09.wav,0Y-040A-09.wav,57ff9f7259087eb46b1748d56edf497f20356d7e,bd4aa2f2ad0d542ce65ae9339a683e7badda54179a95e8cd2d46ad1991b71f6c,55696,44100,1,16,0.629410,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
dataset/raw_audio/AudioCropped/0Y-040A-10.wav,data/meowagenet/official-3d02295bef15/AudioCropped/0Y-040A-10.wav,0Y-040A-10.wav,48369cdb71a32fc075acc16fb858ddad26732cb8,ec6a0b7367e7aad410b54f37340aa6b6ca85cb104c3c666a5fe199c956fd4cb7,30572,44100,1,16,0.344512,0Y,0.000000,kitten,040A,040A,X,0,,true,040A,
